weeks,avg_weekly_pos_score,avg_weekly_neg_score
2002-02-11,0.06264463110060363,0.057742808368451165
2002-02-18,0.06572707687451117,0.047442621318761244
2002-02-25,0.06055085473338975,0.04608555077961111
2002-03-04,0.06226522692258517,0.0573014348936641
2002-03-11,0.056989308092691544,0.05988356053203141
2002-03-18,0.07121910756492544,0.05467922521741323
2002-03-25,0.06770078911165091,0.05413331040730033
2002-04-01,0.06247568845650823,0.04678276839774087
2002-04-08,0.07674774964330693,0.05299291973199125
2002-04-15,0.06742231306970883,0.05421580596434815
2002-04-22,0.058934799662507496,0.05454718782050437
2002-04-29,0.06091327476073543,0.052038704475663916
2002-05-06,0.0554545927603574,0.050709864752319894
2002-05-13,0.06897742738153285,0.061498578552159476
2002-05-20,0.06054679623326401,0.05368538996648007
2002-05-27,0.06688266637853069,0.058901059484418435
