weeks,avg_weekly_pos_score,avg_weekly_neg_score
2002-08-19,0.375,0.22916666666666669
2002-08-26,0.375,0.21875
2002-09-02,0.359375,0.28125
2002-09-09,0.3516666666666667,0.24583333333333335
2002-09-16,0.5625,0.09375
2002-09-23,0.2978219696969697,0.3380681818181818
2002-09-30,0.328125,0.359375
2002-10-07,0.0,0.625
2002-10-14,0.27083333333333337,0.38541666666666663
2002-10-21,0.3541666666666667,0.2760416666666667
2002-10-28,0.34895833333333337,0.24479166666666669
2002-11-04,0.3890151515151515,0.18371212121212122
2002-11-11,0.1875,0.4583333333333333
2002-11-18,0.4255952380952381,0.23660714285714285
2002-11-25,0.20833333333333334,0.3958333333333333
2002-12-02,0.5208333333333334,0.06944444444444445
2002-12-09,0.0,0.75
2002-12-16,0.29523809523809524,0.29583333333333334
2002-12-23,0.0,0.0
